觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,全天空日射量  (MJ/㎡)  GloblRad,積溫,成長百分比
16-11-28 1時,1012.6,1015.4,21.7,17.2,76,11,40,24.6,70,0,0.39375,0.00032
16-11-28 2時,1012.2,1015,21.9,16.7,72,12.1,40,24.8,40,0,0.78125,0.00064
16-11-28 3時,1012.6,1015.4,22.1,17,73,8.8,50,25,30,0,1.17917,0.00096
16-11-28 4時,1013,1015.8,21.4,17.9,80,8,50,21.6,40,0,1.58125,0.00128
16-11-28 5時,1012.9,1015.7,21.2,17.1,77,10.4,50,22.4,50,0,1.96250,0.00160
16-11-28 6時,1013.4,1016.2,21.7,16.9,74,10.7,50,24.6,50,0,2.35000,0.00192
16-11-28 7時,1014.5,1017.3,21.3,16.9,76,11,40,26.2,30,0,2.72917,0.00224
16-11-28 8時,1014.9,1017.7,21.9,16.9,73,10.2,50,24.1,40,0.11,3.12083,0.00256
16-11-28 9時,1015.1,1017.9,22.7,17,70,9.8,60,23.1,50,0.6,3.53125,0.00288
16-11-28 10時,1015.6,1018.4,22.7,16.3,67,8.9,50,22.5,70,0.6,3.92708,0.00320
16-11-28 11時,1015.4,1018.2,22.7,16.3,67,10.9,50,27.5,30,0.84,4.32292,0.00352
16-11-28 12時,1015.6,1018.4,22.7,15.6,64,9.7,50,24.5,60,0.6,4.70417,0.00384
16-11-28 13時,1014.2,1017,22.5,15.9,66,8.4,50,27,40,0.78,5.08750,0.00416
16-11-28 14時,1014,1016.8,23.2,15.7,63,8.3,50,22,60,0.69,5.48125,0.00448
16-11-28 15時,1014.3,1017.1,22.7,14.7,61,10,50,20.3,30,0.61,5.84375,0.00480
16-11-28 16時,1015.2,1018,22.6,14.8,61,10.4,50,28.8,50,0.38,6.20625,0.00512
16-11-28 17時,1015.8,1018.6,22.5,15.1,63,10.2,50,21,30,0,6.57292,0.00544
16-11-28 18時,1016,1018.8,21.6,14.8,65,8.7,50,21.7,40,0,6.91458,0.00576
16-11-28 19時,1016.2,1019,22.2,14.2,60,10.2,50,23.3,50,0,7.25625,0.00608
16-11-28 20時,1016.4,1019.2,22.8,13.9,57,8.9,50,24.4,40,0,7.60417,0.00640
16-11-28 21時,1017.3,1020.1,22.3,14.9,63,8,60,23.9,70,0,7.96250,0.00672
16-11-28 22時,1017.3,1020.1,22.7,14.8,61,8.9,60,22.4,70,0,8.32708,0.00704
16-11-28 23時,1017,1019.8,22.8,15.4,63,8.4,60,23.2,40,0,8.70625,0.00736
16-11-29 0時,1016.6,1019.4,22.9,15.8,64,9.4,60,24.1,80,0,9.09583,0.00768
16-11-29 1時,1016.3,1019.1,22.9,15.9,65,10.9,60,26.1,70,0,9.48750,0.00800
16-11-29 2時,1015.2,1018,22.7,14.9,61,10.5,50,22.5,50,0,9.85417,0.00832
16-11-29 3時,1015.2,1018,22.7,14.9,61,9.4,50,24.1,40,0,10.22083,0.00864
16-11-29 4時,1015.2,1018,22.8,15.2,62,9.3,50,22,70,0,10.59583,0.00896
16-11-29 5時,1015.6,1018.4,23,15.1,61,10.3,60,21.9,50,0,10.97292,0.00928
16-11-29 6時,1016.5,1019.3,22.9,15.1,61,8.9,50,21.8,70,0,11.34792,0.00960
16-11-29 7時,1016.8,1019.6,22.9,15.2,62,11.8,50,23.1,40,0,11.72500,0.00992
16-11-29 8時,1017.7,1020.5,22.6,14.9,62,11.4,40,27.7,40,0.02,12.08958,0.01024
16-11-29 9時,1018,1020.8,23.2,15.5,62,11.1,50,25,40,0.61,12.47917,0.01056
16-11-29 10時,1018.1,1020.9,23.8,16.6,64,9.3,50,24.1,70,1.57,12.90417,0.01088
16-11-29 11時,1018.2,1021,24,16.9,65,9.1,50,22.9,40,0.91,13.33958,0.01120
16-11-29 12時,1017.5,1020.3,24.4,17.3,65,8.8,50,21.2,70,1.28,13.79167,0.01152
16-11-29 13時,1017.3,1020.1,24.3,17.7,67,7.2,50,18.7,60,1.57,14.25000,0.01184
16-11-29 14時,1016,1018.8,24.5,17.6,65,7.9,60,22.6,350,1.07,14.71042,0.01216
16-11-29 15時,1016,1018.8,24.4,16.7,62,9.4,50,22.9,40,0.67,15.15000,0.01248
16-11-29 16時,1016.3,1019.1,24.3,17.2,65,8.1,50,22,50,0.24,15.59792,0.01280
16-11-29 17時,1016.9,1019.7,24.1,17.6,67,6.3,50,21.3,30,0,16.05000,0.01312
16-11-29 18時,1017.3,1020.1,24.2,17.5,66,6.2,60,17,60,0,16.50208,0.01344
16-11-29 19時,1017.5,1020.3,24.2,17.2,65,9.8,50,19.6,50,0,16.94792,0.01376
16-11-29 20時,1018,1020.8,24,17.5,67,8.7,50,21.1,50,0,17.39583,0.01408
16-11-29 21時,1019.3,1022.1,24.1,17.6,67,5,60,21.3,30,0,17.84792,0.01440
16-11-29 22時,1018.7,1021.5,23.8,18,70,6.2,60,16.5,70,0,18.30208,0.01472
16-11-29 23時,1019.1,1021.9,23.4,18.8,75,4.3,50,15,50,0,18.76458,0.01504
16-11-30 0時,1018.8,1021.6,23.5,18.2,72,2.2,90,11.4,30,0,19.21667,0.01535
16-11-30 1時,1018.7,1021.5,23.6,18,71,1.1,10,7.5,70,0,19.66667,0.01567
16-11-30 2時,1018.1,1020.9,23.9,17.5,67,2.6,50,8.5,70,0,20.11250,0.01599
16-11-30 3時,1017.9,1020.7,23.8,17.9,70,2.8,40,8.6,100,0,20.56458,0.01631
16-11-30 4時,1017.9,1020.7,23.6,17.7,70,3,20,6.9,90,0,21.00833,0.01663
16-11-30 5時,1017.4,1020.2,23.5,18.2,72,4.6,40,7.6,50,0,21.46042,0.01695
16-11-30 6時,1017.8,1020.6,23.7,17.8,70,3,10,8.9,60,0,21.90833,0.01727
16-11-30 7時,1018.3,1021.1,23.6,17.4,68,1.3,350,5.4,40,0,22.34583,0.01759
16-11-30 8時,1018.7,1021.5,24,17.5,67,1.1,340,3.4,360,0,22.79375,0.01791
16-11-30 9時,1019,1021.8,24.7,18.2,67,1.9,10,5.7,360,0.45,23.27083,0.01823
16-11-30 10時,1018.6,1021.4,25,18.3,66,3.1,30,9.3,20,0.6,23.75625,0.01855
16-11-30 11時,1018.1,1020.9,25,17.5,63,4.2,30,9.1,10,0.6,24.22500,0.01887
16-11-30 12時,1017.7,1020.5,25,17.9,65,3.6,40,9.8,20,0.56,24.70208,0.01919
16-11-30 13時,1016.5,1019.3,25.4,18.5,66,4.5,30,10.8,60,0.77,25.20000,0.01951
16-11-30 14時,1016,1018.8,25.3,18,64,3.4,40,11.7,60,0.96,25.68542,0.01983
16-11-30 15時,1015.7,1018.5,24.7,17.4,64,3,50,7.1,70,0.62,26.14583,0.02015
16-11-30 16時,1015.9,1018.7,24.2,17.6,67,2.7,30,8.3,60,0,26.60000,0.02047
16-11-30 17時,1016.3,1019.1,23.9,18.2,70,4.2,30,8.8,60,0,27.06042,0.02079
16-11-30 18時,1017.1,1019.9,23.5,18.8,75,2.3,20,8.9,60,0,27.52500,0.02111
16-11-30 19時,1017.8,1020.6,23.7,19.6,78,3,20,6.5,20,0,28.01042,0.02143
16-11-30 20時,1018.1,1020.9,24.2,19.4,75,3,30,6.3,20,0,28.50208,0.02175
16-11-30 21時,1017.8,1020.6,23.9,19.2,75,3.9,20,12.8,40,0,28.98333,0.02207
16-11-30 22時,1017.7,1020.5,23.7,18.9,75,4.7,10,9.7,360,0,29.45417,0.02239
16-11-30 23時,1017.7,1020.5,23.9,19.4,76,2,10,11.2,10,0,29.93958,0.02271
16-12-1 0時,1017.8,1020.6,23.1,19.8,82,0.7,40,4.1,360,0,30.41667,0.02303
16-12-1 1時,1017.3,1020.1,23.2,19.3,79,2.1,10,4.6,350,0,30.88542,0.02335
16-12-1 2時,1016.7,1019.5,23.3,19.4,79,1.8,320,6.7,10,0,31.35833,0.02367
16-12-1 3時,1016.3,1019.1,23.4,19.6,79,2.4,360,5.9,350,0,31.83750,0.02399
