,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,測站:C0K440_二崙,,觀測時間:2016-01-01,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1020.5,,14.1,,81,1.3,20,,,0.0,,,,
3,2,1020.0,,13.4,,85,1.8,353,,,0.0,,,,
4,3,1019.8,,13.2,,86,2.0,14,,,0.0,,,,
5,4,1019.7,,13.3,,87,1.5,20,,,0.0,,,,
6,5,1019.8,,13.1,,88,1.3,27,,,0.0,,,,
7,6,1020.2,,12.9,,90,1.2,351,,,0.0,,,,
8,7,1020.8,,13.0,,90,0.9,31,,,0.0,,,,
9,8,1021.6,,13.9,,88,1.0,8,,,0.0,,,,
10,9,1022.1,,16.4,,76,0.5,52,,,0.0,,,,
11,10,1021.7,,18.3,,72,2.0,357,,,0.0,,,,
12,11,1021.3,,20.6,,66,2.0,354,,,0.0,,,,
13,12,1020.2,,21.9,,63,3.0,357,,,0.0,,,,
14,13,1019.1,,21.9,,64,4.7,351,,,0.0,,,,
15,14,1018.4,,22.5,,65,4.6,357,,,0.0,,,,
16,15,1018.5,,22.0,,70,5.4,352,,,0.0,,,,
17,16,1018.7,,20.8,,76,6.1,345,,,0.0,,,,
18,17,1018.9,,19.1,,84,6.7,357,,,0.0,,,,
19,18,1019.5,,18.1,,88,6.3,1,,,0.0,,,,
20,19,1020.1,,17.8,,90,4.8,359,,,0.0,,,,
21,20,1020.9,,17.7,,91,4.8,1,,,0.0,,,,
22,21,1021.2,,17.6,,92,3.2,1,,,0.0,,,,
23,22,1020.7,,17.9,,92,4.1,10,,,0.0,,,,
24,23,1020.6,,18.1,,92,3.8,6,,,0.0,,,,
25,24,1020.4,,18.1,,92,3.8,2,,,0.0,,,,
0,測站:C0K440_二崙,,觀測時間:2016-01-02,,,,,,,,,,,,
0,,Press,temperature,dew point,RH,WD/WS,Precp,SunShine,visibility,,,,,,
1,觀測時間  (LST)  ObsTime,測站氣壓  (hPa)  StnPres,海平面氣壓  (hPa)  SeaPres,氣溫  (℃)  Temperature,露點溫度  (℃)  Td dew point,相對溼度  (%)  RH,風速  (m/s)  WS,風向  (360degree)  WD,最大陣風  (m/s)  WSGust,最大陣風風向  (360degree)  WDGust,降水量  (mm)  Precp,降水時數  (hr)  PrecpHour,日照時數  (hr)  SunShine,全天空日射量  (MJ/㎡)  GloblRad,能見度  (km)  Visb
2,1,1019.9,,18.1,,91,3.9,13,,,0.0,,,,
3,2,1019.2,,18.1,,91,3.7,7,,,0.0,,,,
4,3,1018.6,,18.0,,90,3.4,360,,,0.0,,,,
5,4,1018.3,,17.9,,92,3.2,3,,,0.0,,,,
6,5,1018.2,,17.9,,92,2.7,10,,,0.0,,,,
7,6,1018.4,,17.8,,92,2.0,23,,,0.0,,,,
8,7,1018.6,,17.6,,92,3.3,5,,,0.0,,,,
9,8,1019.3,,17.7,,92,2.3,10,,,0.0,,,,
10,9,1019.8,,18.2,,88,2.6,15,,,0.0,,,,
11,10,1019.6,,19.3,,81,3.5,4,,,0.0,,,,
12,11,1018.7,,21.1,,73,4.4,16,,,0.0,,,,
13,12,1018.2,,21.8,,71,4.5,2,,,0.0,,,,
14,13,1017.7,,21.2,,76,2.5,332,,,0.0,,,,
